N,P,K,temperature,humidity,ph,rainfall,crop_yield,label
96.11,92.85,49.72,25.19,82.79,5.78,80.51,25.54,banana
19.43,48.18,16.19,28.42,93.65,6.47,60.72,1.1,mungbean
76.71,32.95,17.26,21.28,65.8,5.89,88.99,4.63,maize
20.72,73.8,23.46,21.17,17.6,5.13,99.1,1.8,kidneybeans
96.34,16.71,42.93,28.29,94.53,6.5,6.15,11.06,muskmelon
86.4,16.15,42.31,27.9,95.44,6.6,31.52,14.08,muskmelon
30.54,122.0,193.81,20.09,86.86,6.14,57.6,11.02,grapes
101.08,20.94,61.93,26.4,86.33,7.0,28.76,21.55,watermelon
98.8,14.15,45.65,27.85,78.07,6.68,46.11,29.13,watermelon
39.66,67.46,85.79,13.51,15.18,7.26,103.0,1.65,chickpea
17.49,56.02,21.61,19.88,21.5,5.54,123.31,1.24,kidneybeans
40.58,65.3,71.38,18.15,17.77,6.83,90.01,1.75,chickpea
98.65,14.95,47.58,28.68,85.92,6.68,47.68,23.29,watermelon
50.33,66.97,57.11,34.06,95.0,7.08,141.25,15.54,papaya
19.21,37.32,27.96,29.75,90.82,6.61,31.71,1.19,mungbean
74.4,37.39,17.93,21.78,60.18,5.91,75.16,5.45,maize
72.96,48.39,37.24,24.73,78.39,6.84,177.04,2.7,jute
84.38,52.01,10.99,19.37,61.06,6.01,67.48,5.03,maize
82.72,34.79,33.35,25.11,81.8,6.7,200.85,4.52,rice
110.04,16.49,55.14,26.23,80.38,6.42,49.24,16.69,watermelon
76.11,55.37,19.36,25.53,57.74,6.2,51.21,5.86,maize
52.5,64.81,77.05,17.4,22.71,7.69,118.28,1.75,chickpea
15.82,78.4,19.54,25.22,53.99,5.61,164.19,1.11,pigeonpeas
104.14,20.0,43.93,28.24,90.63,6.47,70.02,25.22,watermelon
25.15,73.37,20.08,25.05,52.23,5.71,102.59,1.43,pigeonpeas
19.06,46.17,18.93,29.94,88.09,6.77,36.29,0.72,mungbean
99.32,79.89,47.58,28.06,75.32,5.58,82.54,40.23,banana
9.96,12.7,49.04,24.28,90.33,6.9,106.8,7.63,pomegranate
34.78,62.11,16.36,31.71,48.89,7.22,69.51,0.45,blackgram
18.56,67.52,23.07,22.31,56.28,6.95,48.81,1.6,lentil
67.53,41.54,33.99,21.16,73.99,6.99,71.43,3.49,wheat
106.51,39.45,22.52,25.99,79.09,7.64,92.36,1.73,cotton
77.22,44.02,53.09,20.8,66.12,7.08,58.72,2.32,wheat
23.24,76.37,12.72,26.58,63.41,7.08,36.94,1.33,lentil
22.9,149.35,218.65,23.73,81.19,6.18,127.11,10.51,apple
106.25,33.21,23.26,28.68,66.03,6.54,159.82,2.01,coffee
8.27,148.05,207.37,23.66,81.69,6.15,61.04,13.54,grapes
17.17,42.2,16.71,26.6,82.73,6.58,42.64,0.84,mungbean
29.5,18.25,26.35,28.77,91.74,5.67,122.4,56.02,coconut
25.54,47.99,19.38,27.58,56.73,6.9,74.76,0.73,mothbeans
63.31,49.35,36.7,24.14,78.18,5.96,151.17,4.54,rice
12.32,137.38,201.23,18.97,94.27,5.75,166.81,8.86,apple
39.58,80.63,88.98,17.88,19.85,7.09,59.44,1.52,chickpea
98.45,67.49,49.85,27.2,85.84,6.38,91.3,34.01,banana
40.42,73.92,16.62,32.35,57.7,7.46,79.13,0.44,blackgram
114.24,93.31,49.77,27.28,85.55,5.45,98.54,36.68,banana
90.8,20.4,51.66,27.91,88.72,5.89,19.82,14.01,muskmelon
16.7,21.44,35.09,19.63,91.92,6.64,132.42,10.35,pomegranate
113.33,26.32,33.07,30.99,58.53,6.61,162.31,1.57,coffee
66.8,59.65,51.44,22.06,73.43,6.91,196.56,5.49,rice
94.56,61.4,39.33,29.85,78.0,6.82,210.8,2.27,jute
13.27,40.11,26.89,30.04,84.18,6.96,52.41,1.1,mungbean
18.22,12.69,42.79,22.26,93.41,6.68,122.08,7.38,pomegranate
90.55,61.75,40.4,23.31,77.27,6.65,149.25,1.91,jute
71.46,33.35,22.56,25.12,64.31,6.49,94.18,6.81,maize
105.84,25.66,15.05,21.09,86.39,7.44,58.96,2.19,cotton
34.11,52.88,51.94,33.97,84.55,7.05,165.63,21.93,papaya
111.82,52.76,14.57,20.49,69.16,6.46,100.42,1.8,cotton
77.77,50.71,45.79,22.85,77.77,6.05,186.6,5.19,rice
15.47,10.38,39.56,25.42,94.02,7.06,127.65,9.54,pomegranate
22.0,27.83,34.18,32.11,47.71,6.52,72.8,6.89,mango
68.0,42.58,22.57,21.54,66.75,6.35,79.52,6.61,maize
29.06,126.95,192.34,24.74,87.34,6.07,80.27,9.31,grapes
19.95,69.46,29.07,26.31,50.39,5.55,132.07,1.02,pigeonpeas
116.76,19.24,53.2,28.48,89.58,6.29,19.28,14.87,muskmelon
21.67,144.62,211.08,21.93,89.07,6.0,123.2,8.85,apple
112.43,87.82,50.53,30.33,78.66,6.3,108.51,24.88,banana
80.91,48.63,23.1,21.82,76.97,6.53,145.02,2.87,jute
99.0,17.14,45.9,26.11,85.36,6.33,35.78,26.08,watermelon
20.42,12.84,11.33,22.34,93.44,7.5,109.25,16.27,orange
92.73,21.83,43.49,27.36,86.13,6.89,62.63,24.71,watermelon
20.13,121.54,186.6,20.27,92.22,6.22,106.04,5.49,apple
63.58,51.43,64.2,33.1,82.82,6.65,168.99,18.54,papaya
110.76,21.54,53.44,28.02,87.11,5.9,51.18,19.42,watermelon
100.2,89.13,44.62,27.67,72.17,6.02,144.06,25.03,banana
102.58,15.85,47.68,28.84,99.63,6.53,36.83,11.86,muskmelon
107.9,18.68,50.96,28.32,82.27,6.08,57.23,31.19,watermelon
12.54,14.29,44.05,21.46,90.51,6.49,111.85,9.86,pomegranate
22.09,50.03,74.15,18.92,8.76,7.05,77.11,2.22,chickpea
93.72,26.23,39.64,21.31,54.22,7.37,156.89,1.29,coffee
47.32,62.6,78.07,16.73,22.22,7.1,112.49,2.04,chickpea
75.47,26.47,47.47,24.39,70.75,6.6,188.03,2.7,jute
20.31,12.66,35.87,24.96,95.59,6.02,152.28,55.73,coconut
82.04,47.81,15.48,21.97,59.1,6.56,63.03,5.7,maize
85.36,29.12,23.79,23.38,61.59,7.4,159.28,1.25,coffee
32.2,12.75,25.86,24.91,96.8,5.94,203.17,61.71,coconut
19.35,60.4,18.63,23.6,43.01,6.81,58.14,0.98,mothbeans
63.03,42.8,19.58,16.65,60.39,5.9,73.11,5.57,maize
33.73,61.48,71.67,16.34,16.8,6.99,95.23,2.25,chickpea
42.48,70.81,21.95,23.7,71.83,6.88,79.3,0.81,blackgram
34.91,62.48,28.36,27.3,77.21,7.23,70.38,0.77,blackgram
107.65,90.59,53.99,23.12,79.22,5.55,100.95,34.9,banana
88.47,38.44,30.32,19.92,64.77,6.87,76.38,3.38,wheat
94.4,53.94,20.38,16.19,63.77,5.95,102.56,5.32,maize
16.96,63.77,16.57,24.13,49.73,5.88,159.3,1.45,pigeonpeas
28.53,129.54,179.93,24.22,84.85,6.12,66.36,14.41,grapes
96.31,20.78,51.58,23.93,87.12,6.59,28.59,20.24,muskmelon
75.41,60.79,22.8,20.11,68.48,6.1,87.6,5.87,maize
14.3,63.4,19.37,26.39,58.3,6.8,47.44,0.93,lentil
103.31,23.72,39.52,28.96,99.41,6.53,31.66,16.76,muskmelon
23.74,14.42,35.8,27.89,89.34,6.46,182.49,55.19,coconut
21.03,12.31,18.59,24.78,92.05,6.23,173.42,49.81,coconut
118.98,54.23,16.84,21.34,72.91,6.51,87.17,2.24,cotton
92.77,84.93,43.63,30.49,85.14,6.14,102.61,37.57,banana
96.89,16.31,37.32,28.71,95.24,6.45,33.31,15.6,muskmelon
26.78,145.26,195.39,23.54,91.03,5.91,103.53,9.64,apple
100.12,15.17,47.81,29.69,91.92,6.58,36.59,27.69,watermelon
12.5,63.21,33.72,25.45,76.85,7.32,48.42,1.36,lentil
14.1,12.77,36.83,26.59,99.94,5.86,151.81,51.97,coconut
20.55,24.79,41.66,22.29,88.4,5.99,96.32,7.99,pomegranate
78.39,48.23,57.09,23.35,83.29,6.48,142.44,4.48,rice
36.92,70.06,80.13,13.74,19.3,7.26,92.62,2.98,chickpea
34.93,66.23,24.05,36.06,58.78,7.23,58.39,0.62,blackgram
66.83,57.89,19.22,19.36,65.8,6.35,86.76,6.95,maize
97.18,76.9,62.34,24.16,80.57,5.87,121.54,29.48,banana
32.39,72.57,16.42,26.95,66.4,6.3,42.74,0.67,blackgram
15.04,61.94,20.95,27.59,43.05,6.02,160.44,0.99,pigeonpeas
24.41,72.77,15.42,22.71,23.51,5.74,106.19,1.67,kidneybeans
15.67,17.4,19.86,23.39,100.0,7.17,97.4,15.04,orange
22.63,13.95,33.92,24.2,92.78,6.07,168.81,52.93,coconut
13.0,16.73,6.01,22.33,98.87,6.92,86.57,13.62,orange
48.33,71.67,77.96,19.16,14.88,7.46,109.74,2.12,chickpea
18.42,59.47,21.23,25.4,56.41,5.62,137.69,1.06,pigeonpeas
16.85,41.57,23.61,27.75,51.17,6.84,78.28,6.18,mango
54.74,43.86,48.87,38.31,86.33,6.72,200.08,22.53,papaya
19.53,58.62,27.64,27.84,47.96,6.17,37.28,0.63,mothbeans
35.56,68.64,69.38,17.21,17.95,7.1,83.6,1.64,chickpea
26.95,36.15,19.02,25.92,88.85,6.6,43.81,0.97,mungbean
84.64,47.78,25.69,25.17,81.59,6.6,173.48,2.6,jute
18.95,19.92,37.84,21.46,85.36,6.79,97.31,9.69,pomegranate
10.81,123.44,201.46,22.66,87.44,5.98,100.52,9.45,apple
25.05,46.65,26.89,26.66,85.73,6.42,49.07,0.5,mungbean
14.28,20.33,28.47,28.17,88.54,5.46,154.91,52.77,coconut
21.85,12.9,32.1,26.97,93.22,6.26,159.64,60.87,coconut
97.32,82.65,53.88,27.53,81.9,6.3,110.3,26.76,banana
22.16,134.72,179.9,19.36,80.93,6.15,129.55,11.69,apple
114.48,45.44,11.18,25.53,76.61,6.06,79.64,1.58,cotton
14.98,66.18,26.23,22.68,57.14,6.58,55.94,1.35,lentil
88.13,55.85,41.42,25.01,83.81,6.31,210.84,5.73,rice
56.45,57.95,82.79,16.15,18.67,6.92,78.74,1.71,chickpea
24.73,19.6,33.47,22.79,99.97,6.36,163.95,57.37,coconut
24.2,68.66,13.54,18.94,18.18,5.68,111.39,1.63,kidneybeans
69.51,52.4,33.14,23.15,65.83,6.95,84.34,4.43,wheat
25.07,114.97,186.58,19.08,89.69,6.04,108.15,8.82,apple
69.6,35.55,41.9,19.96,69.2,6.6,73.31,2.26,wheat
25.45,25.2,33.59,28.42,47.65,6.65,89.57,4.26,mango
9.01,33.34,30.95,29.86,54.29,6.66,38.96,7.02,mango
83.69,25.51,30.43,27.65,58.29,6.73,172.49,1.24,coffee
97.19,14.14,47.12,31.06,80.44,6.42,46.13,23.76,watermelon
80.74,38.79,41.93,19.9,70.98,6.34,71.62,3.39,wheat
134.89,41.32,13.51,25.02,75.7,6.67,87.64,1.49,cotton
95.98,39.18,39.33,23.6,72.29,6.97,186.58,2.64,jute
25.45,38.03,16.17,28.14,58.14,6.95,54.48,0.92,mothbeans
19.17,33.63,30.18,28.94,50.54,7.2,42.27,0.98,mothbeans
44.77,51.16,39.86,33.48,99.54,6.58,159.76,19.59,papaya
38.9,55.12,47.36,37.66,96.62,7.04,165.5,23.78,papaya
16.09,12.16,10.86,20.31,87.95,6.72,108.44,16.83,orange
24.0,27.03,27.21,33.98,52.64,5.97,95.98,4.88,mango
24.55,47.16,19.31,27.15,51.47,7.11,48.65,0.63,mothbeans
83.26,34.99,49.39,22.63,79.39,6.81,178.87,3.37,rice
89.07,14.8,48.02,24.74,82.55,6.16,48.74,19.63,watermelon
106.25,27.15,27.34,24.58,58.04,6.57,123.31,1.84,coffee
23.27,136.41,212.8,22.44,72.48,5.96,70.66,15.06,grapes
19.85,59.61,16.75,24.59,61.14,6.88,30.86,1.43,lentil
17.85,16.39,18.5,27.34,81.84,6.23,189.05,52.21,coconut
20.57,48.49,24.6,30.04,83.03,6.52,38.6,0.94,mungbean
16.73,67.22,19.76,23.84,44.3,5.53,108.28,1.21,pigeonpeas
84.69,16.72,47.22,25.32,84.6,6.32,31.64,22.79,watermelon
30.92,71.56,17.1,18.78,19.72,5.63,121.75,1.56,kidneybeans
113.2,31.6,30.66,22.54,58.75,6.98,194.44,1.71,coffee
111.92,49.25,11.44,26.11,71.64,6.83,83.67,2.11,cotton
23.62,147.98,203.25,20.17,83.83,6.17,60.95,13.43,grapes
48.85,68.61,20.29,28.31,61.25,7.2,60.82,0.97,blackgram
61.29,42.19,42.15,26.35,83.63,6.43,224.88,2.73,rice
73.49,41.1,37.26,21.27,82.24,6.25,208.11,4.46,rice
118.47,25.15,19.41,20.64,52.09,7.04,142.13,1.64,coffee
27.24,44.48,18.79,30.93,88.53,6.83,37.09,0.94,mungbean
96.21,22.86,31.51,21.59,56.66,6.03,124.59,1.24,coffee
124.4,59.51,20.83,25.04,86.0,6.71,57.68,1.86,cotton
54.6,52.96,54.02,33.83,91.72,6.55,129.05,21.13,papaya
14.48,53.56,20.92,27.16,76.48,7.13,36.72,0.68,mungbean
26.37,31.62,26.69,31.26,47.34,5.95,114.11,5.06,mango
16.66,13.75,9.95,21.46,84.54,6.88,108.01,12.12,orange
23.78,42.27,10.77,27.14,58.15,6.7,43.54,1.09,mothbeans
78.24,59.3,19.6,22.36,59.69,6.33,67.19,6.49,maize
26.95,36.24,14.98,27.34,93.08,6.93,47.42,0.86,mungbean
25.9,19.51,39.06,23.07,97.27,6.26,95.57,8.21,pomegranate
24.56,74.26,15.46,28.42,66.63,6.65,62.53,1.72,lentil
27.85,44.34,75.39,19.1,20.6,7.06,78.83,2.15,chickpea
30.47,54.9,25.8,28.95,45.1,5.76,139.85,1.26,pigeonpeas
72.21,52.58,40.51,25.87,86.2,6.8,213.47,2.96,jute
20.65,60.42,13.8,25.64,66.98,6.95,37.54,1.42,lentil
74.29,52.54,42.24,20.9,60.86,6.83,63.92,1.74,wheat
24.41,67.01,21.98,25.08,46.05,5.56,166.13,1.7,pigeonpeas
22.34,17.9,43.14,24.33,91.32,6.23,119.35,7.18,pomegranate
20.43,61.02,24.95,26.57,51.63,5.56,136.0,1.23,pigeonpeas
46.95,74.1,72.89,18.08,19.05,7.14,101.09,2.51,chickpea
24.22,54.43,17.52,25.69,54.34,6.55,46.82,1.17,mothbeans
64.85,55.93,55.16,22.5,84.88,6.59,292.37,5.4,rice
19.43,69.11,19.25,24.47,51.43,5.12,107.99,1.42,pigeonpeas
79.68,58.54,14.97,24.42,71.59,6.16,38.17,4.89,maize
21.81,11.11,4.47,20.36,99.19,7.1,121.97,16.22,orange
101.14,29.26,33.63,23.65,55.57,6.6,149.7,1.93,coffee
17.87,15.99,39.14,22.43,96.39,6.57,112.03,10.25,pomegranate
79.19,44.68,42.87,22.97,61.66,7.1,77.38,2.82,wheat
118.8,48.61,20.14,21.82,87.07,7.17,100.38,1.64,cotton
106.15,18.24,51.07,25.78,82.52,6.52,74.4,26.51,watermelon
97.27,12.48,49.47,22.55,86.68,6.64,66.76,24.03,watermelon
74.72,49.24,24.13,18.4,61.71,6.11,49.81,4.68,maize
46.96,71.09,67.66,33.38,96.99,6.71,119.06,25.91,papaya
13.92,15.02,7.95,18.35,97.29,6.79,133.92,16.65,orange
54.03,57.98,52.3,32.89,92.49,6.64,145.45,30.79,papaya
27.6,40.0,23.14,27.44,52.21,6.74,43.54,0.9,mothbeans
20.67,121.59,215.05,24.1,86.13,5.58,67.59,11.3,grapes
70.25,51.3,51.27,21.36,86.82,6.62,224.66,6.02,rice
46.44,54.68,42.54,31.12,90.25,6.55,128.55,28.4,papaya
43.4,76.58,68.03,16.58,16.13,6.96,111.02,1.54,chickpea
13.46,54.22,16.85,28.46,48.02,5.56,149.89,0.68,pigeonpeas
21.02,56.84,24.91,25.2,55.94,6.74,52.83,0.75,mothbeans
20.74,20.55,7.27,21.59,99.42,6.8,106.97,14.77,orange
72.87,45.85,39.96,26.01,68.75,6.83,237.38,2.84,rice
2.65,22.95,37.3,19.4,88.01,6.27,122.25,5.66,pomegranate
93.29,54.94,46.84,25.39,83.97,6.76,144.77,2.65,jute
15.71,25.08,32.78,37.16,53.03,6.34,105.62,5.21,mango
66.89,49.97,22.49,24.42,72.9,5.9,57.84,4.24,maize
20.17,14.55,12.3,24.87,95.99,7.28,128.46,15.65,orange
21.19,20.63,30.07,32.16,49.23,6.41,96.98,5.87,mango
113.45,19.61,53.79,29.23,90.0,6.28,17.78,14.0,muskmelon
43.81,43.71,48.24,28.93,93.02,6.34,132.8,20.73,papaya
16.64,27.45,28.59,31.37,52.22,6.33,79.94,5.15,mango
112.4,44.56,21.46,23.39,73.39,6.88,66.52,1.72,cotton
22.61,66.22,31.36,21.78,21.72,5.32,85.68,1.59,kidneybeans
102.73,84.74,41.21,27.09,83.16,5.55,127.1,28.11,banana
43.46,63.61,57.51,36.66,88.26,6.88,133.35,17.58,papaya
17.15,18.17,33.41,31.76,99.63,5.97,160.49,57.94,coconut
25.96,56.94,23.66,21.18,19.57,5.8,120.44,1.76,kidneybeans
95.93,40.91,34.08,22.75,82.28,6.83,149.23,5.72,rice
92.67,39.34,45.55,24.55,77.37,6.48,102.76,3.68,rice
22.39,16.87,7.63,19.12,85.65,7.36,97.73,12.98,orange
79.49,18.24,51.75,31.34,84.36,6.77,25.6,16.47,muskmelon
112.61,53.49,7.8,21.11,78.46,7.37,83.39,1.39,cotton
44.88,68.26,74.31,18.45,19.14,6.59,102.39,1.7,chickpea
19.98,14.39,34.28,27.39,100.0,5.95,162.23,81.71,coconut
9.42,18.49,28.48,26.56,92.43,5.97,157.18,69.76,coconut
17.72,19.96,30.39,34.17,44.51,6.01,105.05,7.95,mango
54.0,78.05,68.66,19.38,15.49,7.28,89.41,1.73,chickpea
74.08,40.62,28.08,20.03,71.09,6.66,84.97,5.07,maize
16.42,53.48,22.65,29.72,85.38,6.88,44.54,1.21,mungbean
28.93,140.98,189.59,23.68,75.61,6.37,68.89,10.98,grapes
102.95,24.51,28.64,23.52,54.49,6.95,135.46,1.27,coffee
50.51,59.41,24.31,28.13,73.77,6.99,56.39,0.8,blackgram
42.64,60.49,17.17,30.01,67.61,7.5,67.77,0.75,blackgram
22.31,13.94,15.27,25.09,92.16,7.46,145.66,14.22,orange
13.75,17.22,11.65,23.45,93.75,6.92,129.88,14.2,orange
100.93,16.42,49.25,27.36,78.43,6.51,51.63,25.64,watermelon
106.73,22.34,26.0,25.75,53.47,6.58,191.62,1.32,coffee
18.14,61.17,21.6,23.31,20.42,6.0,84.15,1.55,kidneybeans
24.67,29.52,41.53,27.95,54.11,5.81,98.15,7.67,mango
73.63,47.47,30.5,20.26,63.21,6.01,81.16,5.32,maize
17.83,60.78,16.16,26.79,83.76,6.34,26.92,0.75,mungbean
79.23,52.41,20.22,26.09,61.89,6.26,58.86,4.18,maize
30.72,17.47,35.52,26.69,93.57,6.23,217.57,68.01,coconut
27.26,67.11,17.02,26.4,53.04,5.52,134.01,1.13,pigeonpeas
16.86,64.7,27.09,15.02,23.83,5.8,86.89,1.18,kidneybeans
25.29,14.75,10.33,25.27,86.79,7.06,118.76,15.56,orange
112.35,51.03,11.38,24.36,82.34,6.47,76.94,2.01,cotton
18.84,62.39,27.36,25.6,43.81,5.9,133.08,0.91,pigeonpeas
117.34,85.07,50.86,26.5,81.46,5.98,110.84,30.57,banana
25.96,61.44,21.37,27.59,63.81,7.24,76.81,0.54,blackgram
22.13,55.73,21.22,25.7,69.46,6.57,39.43,1.5,lentil
20.51,122.47,205.44,20.65,77.03,6.45,98.51,12.98,grapes
96.58,24.77,20.37,26.64,46.26,6.8,152.88,2.17,coffee
15.84,61.89,15.92,17.87,26.37,6.1,133.81,1.13,kidneybeans
14.84,24.43,38.85,33.73,53.2,6.31,81.78,6.26,mango
114.57,17.75,55.01,29.74,81.79,6.83,52.75,29.57,watermelon
18.4,33.95,31.59,30.94,59.48,5.79,72.81,8.56,mango
26.44,138.1,221.29,19.1,85.34,6.4,49.92,9.79,grapes
15.4,64.39,29.01,23.38,66.8,7.06,35.99,1.13,lentil
85.19,57.26,41.13,23.8,85.45,6.38,206.72,4.51,rice
20.25,13.56,24.12,26.92,91.98,6.11,192.63,66.01,coconut
21.56,31.29,23.69,25.27,47.16,6.74,135.44,8.7,mango
84.84,37.07,26.06,21.78,63.15,6.24,43.36,5.91,maize
123.66,53.74,20.61,26.21,77.52,6.6,79.03,1.86,cotton
22.89,65.97,27.03,26.03,53.78,5.69,136.83,1.38,pigeonpeas
51.22,52.82,58.78,28.66,90.22,6.81,146.36,23.05,papaya
17.73,22.77,38.29,22.8,91.04,6.53,118.47,5.59,pomegranate
24.94,29.3,34.59,30.07,46.72,5.88,102.18,5.25,mango
102.45,32.37,27.06,24.42,72.11,7.12,186.75,1.06,coffee
41.21,64.66,15.91,30.8,60.87,7.65,98.0,0.74,blackgram
15.38,54.22,18.36,19.57,21.49,5.54,112.67,2.08,kidneybeans
20.92,50.62,28.54,26.46,79.61,6.43,35.63,1.07,mungbean
99.15,18.35,47.0,26.04,82.04,6.49,26.17,19.49,watermelon
43.46,70.76,73.34,16.58,16.67,6.93,97.63,1.69,chickpea
6.6,14.83,12.7,20.78,100.0,6.92,112.94,9.91,orange
13.21,58.36,9.89,26.8,46.01,5.41,147.64,1.31,pigeonpeas
72.07,44.08,46.04,24.73,76.0,6.4,185.75,3.98,rice
132.35,57.69,19.72,21.68,73.74,6.27,63.75,1.82,cotton
22.32,136.41,196.19,23.66,90.86,5.97,135.93,11.58,apple
104.56,79.06,42.83,28.15,87.46,6.12,123.46,27.4,banana
13.15,146.32,199.58,21.02,92.84,6.12,140.33,10.63,apple
94.25,14.34,48.07,26.13,87.77,6.63,55.92,31.3,watermelon
120.77,59.63,15.57,21.95,78.46,7.21,58.3,2.24,cotton
99.41,46.12,39.34,23.67,82.48,6.35,229.12,3.16,jute
10.97,12.92,35.56,20.68,84.93,6.5,105.35,8.02,pomegranate
36.27,65.79,78.41,17.1,17.59,6.97,68.04,1.99,chickpea
22.4,78.97,17.53,26.0,54.75,5.79,174.35,1.29,pigeonpeas
116.6,22.26,30.25,24.14,54.51,6.89,186.52,1.64,coffee
17.99,41.93,15.75,26.92,56.78,6.73,38.5,1.25,mothbeans
15.14,128.93,205.85,23.15,75.77,5.61,58.88,14.02,grapes
20.34,64.85,19.83,26.12,59.03,6.6,26.65,1.19,lentil
43.86,69.95,82.15,14.14,16.16,7.45,84.27,1.38,chickpea
74.6,38.77,43.57,21.04,84.04,5.99,230.87,4.88,rice
107.15,78.85,37.3,26.59,83.12,6.44,81.04,27.87,banana
61.72,70.08,45.04,24.55,90.94,6.61,138.76,22.11,papaya
18.24,25.71,40.41,23.36,87.82,6.31,83.42,6.89,pomegranate
15.21,22.55,37.36,22.56,82.71,6.47,70.31,7.6,pomegranate
73.47,59.62,21.63,21.9,68.11,5.86,85.59,5.42,maize
21.48,139.48,182.07,24.53,99.16,5.68,116.87,11.28,apple
16.75,22.12,38.56,21.86,89.43,6.38,102.45,10.02,pomegranate
14.23,12.48,12.29,25.95,98.91,6.6,127.09,12.01,orange
21.08,64.57,18.91,28.53,43.8,6.28,112.58,1.02,pigeonpeas
8.67,44.19,18.86,29.43,79.0,6.24,53.51,1.0,mungbean
100.5,18.63,35.94,29.14,84.71,6.91,21.76,14.45,muskmelon
27.26,17.02,7.45,20.83,92.51,6.81,87.85,17.6,orange
47.12,62.14,18.0,31.8,72.7,7.57,64.77,0.88,blackgram
100.03,14.9,42.4,26.89,88.14,6.5,16.43,19.0,muskmelon
22.54,23.34,32.08,29.84,98.99,5.63,171.25,55.35,coconut
34.23,68.41,74.63,17.46,22.02,7.6,65.51,2.05,chickpea
15.93,48.41,13.75,27.47,86.17,6.78,37.85,1.04,mungbean
95.13,89.55,55.65,26.96,77.27,5.5,133.4,32.96,banana
18.94,22.66,43.13,20.66,96.76,5.69,151.04,5.44,pomegranate
44.01,59.14,27.03,31.45,57.14,6.82,34.71,0.58,blackgram
41.4,90.88,81.94,17.37,19.77,7.34,91.3,1.98,chickpea
22.21,12.54,2.82,22.69,91.24,6.83,125.28,13.87,orange
29.49,59.42,15.83,21.53,15.37,5.51,113.95,1.31,kidneybeans
28.14,43.64,23.78,24.17,56.3,6.56,55.07,0.85,mothbeans
59.53,51.29,49.3,24.16,69.98,6.57,58.67,3.95,wheat
20.34,158.32,193.55,26.36,75.67,5.8,59.7,9.89,grapes
13.33,16.69,45.54,22.13,93.22,6.44,120.47,6.8,pomegranate
89.0,47.46,48.5,24.26,77.86,6.33,222.42,4.99,rice
69.96,37.73,51.52,24.63,63.9,6.81,83.13,2.18,wheat
78.44,79.03,57.85,26.23,88.69,6.03,111.78,29.36,banana
16.74,64.0,70.69,14.74,13.29,7.23,104.93,1.89,chickpea
14.85,19.33,31.22,21.91,85.57,6.21,87.97,9.1,pomegranate
17.95,58.03,18.71,23.9,65.8,7.1,35.61,1.64,lentil
88.25,51.51,52.44,23.04,85.41,6.41,209.72,4.4,rice
17.14,69.66,24.67,19.55,23.2,6.14,91.26,1.25,kidneybeans
42.95,67.99,23.68,30.55,65.15,6.83,59.21,0.62,blackgram
38.01,57.7,16.93,29.06,72.31,7.01,85.09,0.91,blackgram
40.12,74.22,71.74,21.04,18.53,7.51,75.13,2.06,chickpea
61.22,40.38,39.41,23.1,69.57,6.56,102.39,3.06,wheat
89.12,52.86,34.98,27.56,87.25,6.67,163.73,3.63,jute
72.77,56.35,40.85,24.21,81.39,7.03,186.38,3.41,jute
24.05,34.56,21.0,28.2,53.21,7.11,55.34,1.2,mothbeans
51.71,74.97,81.25,21.52,18.12,7.32,84.2,2.17,chickpea
17.1,23.79,10.8,23.71,91.47,6.92,143.26,15.62,orange
85.15,53.75,22.19,21.06,68.36,6.38,64.69,4.93,maize
21.52,19.67,32.04,21.13,87.44,5.24,180.38,57.4,coconut
56.38,57.96,58.19,37.61,96.27,6.86,153.17,23.46,papaya
21.93,73.7,16.6,21.17,51.62,5.33,108.65,0.35,pigeonpeas
29.84,31.7,26.2,32.71,50.59,6.32,97.75,7.93,mango
23.09,23.63,34.44,35.2,53.91,6.14,97.82,4.67,mango
26.79,20.6,33.34,24.74,95.57,6.1,131.14,43.79,coconut
26.22,168.29,200.73,19.38,89.07,6.09,80.9,10.34,apple
109.84,38.2,20.68,23.02,87.37,7.34,89.5,1.45,cotton
30.34,73.47,14.75,28.03,67.65,6.9,69.56,0.65,blackgram
19.82,42.64,24.11,26.87,59.75,6.61,41.5,1.15,lentil
28.37,22.5,24.94,25.72,47.77,6.05,105.52,6.79,mango
23.82,29.0,27.87,30.63,49.26,6.35,87.66,6.03,mango
15.89,35.12,27.36,27.62,47.75,5.6,81.97,5.34,mango
95.26,28.05,32.63,27.99,62.54,6.58,167.22,1.52,coffee
111.72,16.63,46.76,28.26,90.23,6.31,19.53,18.33,muskmelon
14.12,81.56,17.17,28.66,50.05,5.4,148.88,1.44,pigeonpeas
68.22,54.23,26.34,24.72,83.05,6.8,157.07,2.83,jute
18.8,16.8,34.79,24.55,92.59,5.86,163.14,64.0,coconut
121.61,50.17,16.79,24.48,79.31,6.81,83.68,2.12,cotton
105.3,84.44,41.54,28.25,79.42,5.96,85.47,30.8,banana
41.03,47.95,9.85,30.23,70.19,6.83,65.34,0.74,blackgram
12.02,11.08,18.5,30.6,95.66,6.1,183.53,60.74,coconut
23.22,146.21,197.19,19.23,97.28,6.33,130.96,9.67,apple
86.45,55.95,34.28,24.37,87.29,5.97,164.5,2.87,rice
12.26,28.02,30.96,36.03,42.18,6.02,111.45,6.9,mango
102.39,22.0,29.41,24.74,53.98,6.85,161.96,1.85,coffee
